,realSum,room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,rest_index,lng,lat,CIUDAD,WEEK-END,realSum_unit,Haversine
39143,156.87466392350314,Private room,2.0,True,1,0,10.0,95.0,1,2.9784678342698663,1.5957331117809848,281.1639316027026,697.7272461851815,12.48654,41.92498,rome,Week,78.43733196175157,4827.276491283432
39144,172.7725434269282,Private room,2.0,False,1,0,9.0,80.0,1,0.9353708955406698,0.6492693219576785,482.7071926698461,1251.5243333724472,12.49627,41.90801,rome,Week,86.3862717134641,4825.738838460859
39145,277.7453066186613,Entire home/apt,4.0,False,0,1,9.0,90.0,1,2.203024995409447,0.4946970461885232,691.708997772094,1625.897266082468,12.477,41.907,rome,Week,69.43632665466532,4825.1303940402295
39146,444.906833750263,Entire home/apt,6.0,False,1,0,9.0,92.0,2,2.7030096252083085,1.2951526436335408,805.5926414483328,2035.8195329080447,12.46969,41.90019,rome,Week,74.15113895837716,4824.221349712304
39147,131.3912982488953,Private room,3.0,False,1,0,9.0,91.0,1,1.295968101241546,0.8674554824467151,317.0763690205616,836.6228143812444,12.51544,41.89463,rome,Week,43.79709941629844,4824.826939647558
39148,182.12423725247237,Entire home/apt,4.0,False,1,0,9.0,89.0,2,1.2855137046135825,0.8651801001474569,317.9860250319345,840.4690828302438,12.51535,41.8947,rome,Week,45.53105931311809,4824.831976018672
39149,117.5975498562177,Private room,2.0,False,0,1,9.0,90.0,1,1.8833196153382687,0.2030325421099124,245.9793774238021,700.3106447201859,12.51798,41.91309,rome,Week,58.79877492810885,4826.84111490366
39150,184.4621607088584,Entire home/apt,3.0,False,0,0,9.0,92.0,1,4.2393631954415945,0.508939493230883,384.6786065098727,968.6400797802952,12.45359,41.9125,rome,Week,61.4873869029528,4825.102350444345
39151,147.522970097959,Private room,2.0,True,0,0,9.0,94.0,1,3.38005447365963,0.6059212989102842,599.6574578754309,1467.7021920169957,12.46183,41.90463,rome,Week,73.7614850489795,4824.485633673364
39152,186.56629181960585,Entire home/apt,2.0,False,0,1,10.0,96.0,0,5.68416007329823,0.9898261543607078,242.61205040585213,560.589073478466,12.43471,41.9094,rome,Week,93.28314590980293,4824.284970059887
39153,184.4621607088584,Entire home/apt,2.0,False,1,0,9.0,86.0,1,4.580433885254632,0.5534837247600247,396.8505723485506,794.8462616656781,12.44711,41.89905,rome,Week,92.2310803544292,4823.514040441366
39154,179.7863137960863,Entire home/apt,4.0,False,1,0,9.0,91.0,1,0.9693584565010464,0.6901130957690702,443.5155949805692,1242.22270174367,12.498,41.909,rome,Week,44.94657844902157,4825.888407126071
39155,101.23208566151544,Private room,4.0,False,1,0,9.0,92.0,1,4.323792591386169,0.4228599599588447,450.8246603347038,983.8799284834676,12.45154,41.90982,rome,Week,25.30802141537886,4824.766162842116
