,realSum,room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,rest_index,lng,lat,CIUDAD,WEEK-END,realSum_unit,Haversine
16699,138.13320825515947,Private room,2.0,True,1,0,10.0,98.0,1,4.328028749030367,0.2984835717601209,74.23016983512576,176.8682923108684,-9.14034,38.75137,lisbon,Week,69.06660412757974,4408.776963030719
16700,124.06191369606005,Private room,2.0,True,1,0,10.0,97.0,1,4.465503748917454,0.2936025238531798,72.57084453321953,173.9093516033638,-9.14092,38.7526,lisbon,Week,62.03095684803002,4408.921948021648
16701,194.18386491557223,Private room,4.0,True,1,0,10.0,87.0,2,4.475232333118461,0.1678595316796527,72.51789479175676,177.99613686442575,-9.14245,38.75264,lisbon,Week,48.54596622889306,4408.959289580955
16702,191.6041275797373,Entire home/apt,4.0,False,0,1,9.0,89.0,1,0.8509777965987042,0.5894446521743438,409.6955071937196,806.46320489882,-9.13,38.711,lisbon,Week,47.90103189493433,4404.20605838493
16703,327.86116322701685,Entire home/apt,6.0,False,1,0,9.0,93.0,2,0.6670291637732783,0.5303514458359754,537.015471264081,775.7183795520643,-9.132,38.713,lisbon,Week,54.64352720450281,4404.46464248816
16704,179.8780487804878,Private room,2.0,False,0,1,6.0,40.0,1,4.886625263800069,0.4550470155798555,67.98245155838255,159.8693129491235,-9.14069,38.7564,lisbon,Week,89.9390243902439,4409.326220549593
16705,145.1688555347092,Private room,2.0,False,0,1,9.0,88.0,1,4.892941011406482,0.4745905171612104,67.93323705952074,160.3808778909029,-9.14044,38.75646,lisbon,Week,72.5844277673546,4409.327285877167
16706,145.1688555347092,Private room,2.0,False,0,1,9.0,80.0,1,4.861506807434055,0.536908697646084,68.33018104660806,162.16238285700626,-9.13917,38.75618,lisbon,Week,72.5844277673546,4409.269719874758
16707,175.42213883677297,Private room,3.0,False,0,1,10.0,95.0,1,4.888595769953327,0.4660095945534708,67.97142950555008,160.2155769852008,-9.14053,38.75642,lisbon,Week,58.47404627892433,4409.324920759843
16708,275.3283302063789,Entire home/apt,4.0,True,1,0,10.0,95.0,1,0.898020900101524,0.543717360397582,335.06585896361696,679.5973845951125,-9.12958,38.71424,lisbon,Week,68.83208255159472,4404.54592479035
16709,94.04315196998124,Private room,2.0,False,0,0,10.0,94.0,1,7.329467689142593,0.2061123757576314,57.72429913929192,97.47406665757126,-9.117,38.776,lisbon,Week,47.02157598499062,4410.926671699594
16710,310.0375234521576,Entire home/apt,3.0,False,0,1,10.0,91.0,2,0.7429092719825623,0.3841788425639927,373.3666332646055,892.7442932574596,-9.13216,38.70912,lisbon,Week,103.3458411507192,4404.050244656519
16711,269.6998123827392,Entire home/apt,4.0,False,0,0,9.0,95.0,2,0.8944948401355018,0.5054139857092064,413.750946950052,755.7228771283874,-9.12935,38.71205,lisbon,Week,67.4249530956848,4404.305103108498
16712,159.00562851782362,Entire home/apt,4.0,False,0,1,10.0,94.0,1,6.934858845691541,0.5016820230048508,67.43395011214402,104.69310811049588,-9.112,38.771,lisbon,Week,39.751407129455906,4410.2805198586275
16713,213.18011257035647,Entire home/apt,4.0,True,0,1,10.0,96.0,1,1.043291350579638,0.3520534225543664,376.2407567912145,702.7102550597278,-9.12763,38.71239,lisbon,Week,53.29502814258912,4404.304583610957
16714,172.84240150093808,Entire home/apt,4.0,True,0,0,10.0,96.0,1,5.653880256161422,4.552295883259406,129.86915819732178,140.22439319082306,-9.20359,38.70318,lisbon,Week,43.21060037523452,4404.959618496262
16715,270.63789868667914,Entire home/apt,4.0,False,1,0,9.0,95.0,1,0.8107703478235287,0.5869730704443371,549.4163944104324,867.2925647059351,-9.13031,38.71212,lisbon,Week,67.65947467166978,4404.333372194724
16716,139.30581613508443,Private room,2.0,True,0,1,10.0,100.0,1,3.86365518747316,0.4838010489701054,80.02226961669716,190.98319282710412,-9.135,38.747,lisbon,Week,69.65290806754221,4408.191073106218
16717,298.54596622889306,Entire home/apt,4.0,False,0,1,10.0,100.0,1,0.705319838736058,0.4832943171325025,408.8468203454999,1212.6705799099414,-9.13201,38.71019,lisbon,Week,74.63649155722327,4404.162237166132
16718,248.1238273921201,Entire home/apt,6.0,False,1,0,10.0,95.0,3,0.753526840076195,0.5871589493290381,428.8867899712235,760.370464885725,-9.131,38.713,lisbon,Week,41.353971232020015,4404.443045275843
16719,228.89305816135084,Entire home/apt,4.0,True,1,0,10.0,95.0,1,0.6809428960368784,0.5835567731454475,515.2177726747291,807.806952014485,-9.1318,38.71252,lisbon,Week,57.22326454033771,4404.408629389879
16720,356.7073170731707,Entire home/apt,5.0,True,0,0,10.0,100.0,3,3.941231656083632,0.1707763139159194,81.35818686741781,201.9721591048851,-9.14681,38.747440000000005,lisbon,Week,71.34146341463415,4408.493471268818
16721,193.94934333958724,Entire home/apt,3.0,True,1,0,9.0,93.0,1,0.6668638845346917,0.5287566485325723,435.5845544128554,870.0254515763967,-9.13223,38.71079,lisbon,Week,64.64978111319574,4404.231605774573
16722,223.26454033771105,Entire home/apt,4.0,False,0,0,9.0,94.0,1,0.8677339750265568,0.5395815948127857,425.6080943163562,774.3104127203787,-9.12968,38.71176,lisbon,Week,55.81613508442776,4404.280997047755
16723,257.97373358348966,Entire home/apt,4.0,False,0,0,10.0,96.0,2,1.0154653400684692,0.5896241575324705,322.7114086715442,599.3934944307807,-9.12866,38.70923,lisbon,Week,64.49343339587242,4403.986499549987
