,realSum,room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,rest_index,lng,lat,CIUDAD,WEEK-END,realSum_unit,Haversine
22462,570.0980738023002,Entire home/apt,2.0,False,0,0,10.0,98.0,1,5.30101781893181,1.5889903587574374,209.63257755897288,467.597522331187,-0.16032,51.46531,london,Week,285.0490369011501,5722.701233506609
22463,297.9844304898986,Private room,2.0,True,1,0,10.0,99.0,1,2.198945521708927,0.3792620134751389,553.89174418599,961.472137010545,-0.09683,51.50343,london,Week,148.9922152449493,5726.927356879492
22464,336.7906112561443,Private room,2.0,False,1,0,10.0,96.0,1,2.322957747905205,0.4531776111181624,428.2878485000106,959.0428386552228,-0.10554,51.52407,london,Week,168.39530562807215,5729.223774151747
22465,226.72217126461112,Private room,2.0,True,1,0,10.0,99.0,1,5.707824678781694,1.7239771225914124,195.6947438591781,452.2324722569411,-0.16575,51.46292,london,Week,113.36108563230556,5722.436847764587
22466,256.35598203156235,Private room,3.0,False,0,0,9.0,98.0,1,3.2579448035766183,0.8254171819737707,329.4770684492808,735.3272802090548,-0.12055,51.53728,london,Week,85.45199401052078,5730.69527095255
22467,239.89275382770052,Private room,2.0,False,0,0,10.0,100.0,1,5.085729916882159,1.806218096836652,226.72496427856257,486.7370515714927,-0.1724099999999999,51.47222,london,Week,119.94637691385026,5723.472693571543
22468,324.09040664173665,Private room,2.0,False,0,0,10.0,100.0,1,4.595054764045126,0.296878679494108,283.44260808307234,682.1867183159497,-0.19359,51.51061,london,Week,162.04520332086832,5727.7474162922745
22469,155.69510101366447,Private room,2.0,False,1,0,10.0,95.0,1,5.102453380170875,1.0137060917050809,214.2639621656098,453.66812375977366,-0.15177,51.46504,london,Week,77.84755050683223,5722.669148892159
22470,129.3539358874856,Private room,4.0,False,1,0,9.0,93.0,1,4.534040775924722,1.7728061057038318,257.4450143709157,541.2169732488285,-0.16972,51.47724,london,Week,32.3384839718714,5724.030177033842
22471,246.0076671605635,Entire home/apt,3.0,False,0,1,8.0,74.0,0,3.746655061028056,0.4175544687909389,332.04494703046385,761.6522854241821,-0.18085,51.51343,london,Week,82.00255572018783,5728.0573028082545
