,realSum,room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,rest_index,lng,lat,CIUDAD,WEEK-END,realSum_unit,Haversine
10193,185.79975694119844,Private room,2.0,True,0,0,10.0,98.0,1,3.582210844251585,0.1747055960290704,105.06370826819216,148.94111443361328,13.42344,52.4915,berlin,Week,92.89987847059922,5969.333655085644
10194,194.9144619986912,Private room,5.0,False,0,1,9.0,86.0,1,3.5254103004986552,0.5119217798128007,75.33952911059728,106.44235564569016,13.468,52.519,berlin,Week,38.98289239973824,5973.131630094668
10195,176.21763111152657,Private room,2.0,False,0,0,9.0,91.0,1,3.801712817590346,0.2813965303063434,73.66917597520657,105.440204607798,13.47096,52.51527,berlin,Week,88.10881555576329,5972.792440490568
10196,207.7685332336169,Private room,3.0,True,0,0,10.0,97.0,1,0.9824081724298934,0.7055730839088616,133.18740887759233,198.2333620492528,13.42281,52.53139,berlin,Week,69.25617774453896,5973.568965225842
10197,150.74319902776477,Private room,2.0,False,0,0,10.0,99.0,1,8.869697201153345,2.1871882566567384,39.86015115083815,50.99630815337712,13.5244,52.47841999999999,berlin,Week,75.37159951388239,5969.918200535316
10198,139.29139010937644,Private room,2.0,False,1,0,8.0,87.0,1,3.544664561505696,0.3665524981834603,103.48108233549908,148.4580494254318,13.427270000000002,52.49224,berlin,Week,69.64569505468822,5969.487167233287
10199,417.4067495559502,Entire home/apt,6.0,True,0,0,10.0,97.0,2,3.838823653766812,0.2984301208001406,210.9533840533192,198.13289134427444,13.37279,52.50157,berlin,Week,69.56779159265837,5969.420047825169
10200,135.55202393194352,Private room,2.0,True,0,0,10.0,96.0,1,3.7314525410538897,0.9366748744194608,95.33370885328476,126.47633626086991,13.43842,52.49265,berlin,Week,67.77601196597176,5969.748453233605
10201,260.8207908759465,Private room,2.0,True,1,0,10.0,100.0,1,9.113951206307854,0.3833456761694502,62.73518712589336,101.6440961037706,13.285,52.507,berlin,Week,130.41039543797325,5968.298386960616
10202,191.17509582125828,Entire home/apt,3.0,True,1,0,10.0,98.0,1,13.62054945396812,5.514004440826071,26.96359864185215,35.68835644269832,13.58363,52.45568000000001,berlin,Week,63.72503194041943,5968.66598474259
10203,235.58006917827427,Entire home/apt,2.0,True,0,0,10.0,94.0,1,2.576319513314146,0.4603702995506441,202.90096235631785,154.1409480351886,13.43777,52.50422,berlin,Week,117.79003458913714,5970.967631427529
10204,95.12012713845004,Private room,2.0,False,0,1,9.0,90.0,1,3.556289670442168,0.187019331668555,77.18810591936536,114.04575748156412,13.46714,52.51507,berlin,Week,47.56006356922502,5972.696457639656
10205,229.7373095260353,Private room,3.0,False,0,0,10.0,98.0,1,9.974867072500617,0.5002907750331211,52.85909200025981,75.50431907745343,13.30886,52.46245,berlin,Week,76.5791031753451,5964.012254905984
10206,208.7033747779751,Entire home/apt,2.0,False,0,0,10.0,100.0,1,5.787913939105444,0.3502224499837495,54.89020941494172,69.11618959949571,13.50004,52.51278000000001,berlin,Week,104.35168738898756,5973.0966894136345
10207,266.66355052818545,Entire home/apt,6.0,False,0,1,8.0,87.0,2,1.1977659341124332,0.5947599139488337,130.57966090046193,215.54543489179096,13.42084,52.53386999999999,berlin,Week,44.44392508803091,5973.794682966048
10208,375.5725904459194,Entire home/apt,2.0,False,0,0,10.0,100.0,1,6.998010723417212,0.1979468962572288,93.64773797639856,193.01211289304703,13.32388,52.49587,berlin,Week,187.7862952229597,5967.864088426937
10209,285.36038141535005,Entire home/apt,5.0,False,0,1,8.0,88.0,2,1.1880879467190442,0.519463672939647,133.27964044166956,227.0205726450081,13.419620000000002,52.53394,berlin,Week,57.07207628307001,5973.778380251939
10210,577.4983640272973,Entire home/apt,3.0,False,0,0,10.0,80.0,2,10.609089228646676,1.0051583409838138,49.39810051522176,71.9782742758312,13.286079999999998,52.47096,berlin,Week,192.49945467576575,5964.478340822216
10211,148.4060951668692,Shared room,6.0,False,0,1,9.0,92.0,1,0.9327523073436862,0.3524123139270864,149.65166441251682,194.41456384575704,13.425820000000002,52.517230000000005,berlin,Week,24.7343491944782,5972.119811658592
10212,127.60587080489856,Private room,2.0,True,1,0,10.0,98.0,1,2.485257836157315,0.9933971509999824,88.23445858540336,120.8331288414824,13.453120000000002,52.52474,berlin,Week,63.80293540244928,5973.451994091149
10213,237.68346265308028,Private room,2.0,True,0,0,10.0,99.0,1,4.028535232538124,0.45241292174532,152.87964294894292,178.24433452189697,13.38199,52.49399,berlin,Week,118.84173132654014,5968.791517390328
10214,116.15406188651022,Private room,3.0,False,0,1,10.0,90.0,1,3.4317474648340216,0.090546360239616,78.94346523620226,119.25305143170942,13.46535,52.51532,berlin,Week,38.71802062883674,5972.688078087397
10215,95.12012713845004,Private room,2.0,False,0,1,9.0,90.0,1,3.514204118015225,0.1381940070415968,78.70806173462563,116.86188824037256,13.46591,52.51386,berlin,Week,47.56006356922502,5972.543602673546
10216,113.58324763952508,Private room,4.0,False,0,1,10.0,88.0,1,3.544443752849544,0.226170762930868,76.89675139005834,113.34704514037156,13.46727,52.5158,berlin,Week,28.39581190988127,5972.776709804025
10217,146.30270169206318,Private room,2.0,False,0,0,9.0,91.0,1,4.362696099001016,0.2356352378573839,171.95592965821285,187.26041588626856,13.365379999999998,52.4997,berlin,Week,73.15135084603159,5969.076921118291
