,realSum,room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,rest_index,lng,lat,CIUDAD,WEEK-END,realSum_unit,Haversine
49146,274.87553467498776,Entire home/apt,2.0,False,1,0,10.0,97.0,1,4.998814785030647,0.7463395558067139,112.98225766689286,87.21844065328358,16.31045,48.19315,vienna,Week,137.43776733749388,5584.612794161886
49147,266.4609774910596,Entire home/apt,2.0,True,0,0,10.0,98.0,1,3.434077727395658,0.8481226743556405,73.3257016793973,109.05532268926078,16.33989,48.22962,vienna,Week,133.2304887455298,5589.18489472274
49148,122.9460299651731,Entire home/apt,3.0,False,0,0,9.0,94.0,1,5.382477185130701,0.6220584944584645,79.55599505492033,77.91778044194218,16.30249,48.19953,vienna,Week,40.982009988391034,5585.057644527559
49149,185.58773344552745,Entire home/apt,4.0,False,0,0,10.0,98.0,2,4.13412147702828,0.9778386041573762,57.261006428770834,83.19075449879314,16.42328,48.22536,vienna,Week,46.39693336138186,5591.009398030494
49150,289.83474744641563,Entire home/apt,2.0,True,0,1,10.0,100.0,0,2.760127357517502,0.1786307578780204,87.66553301958999,122.5656027910694,16.408,48.218,vienna,Week,144.91737372320782,5589.832317168386
49151,289.83474744641563,Entire home/apt,2.0,True,0,1,10.0,100.0,0,2.7601342323908185,0.1786381715023685,87.66521958743554,122.5652390328874,16.408,48.218,vienna,Week,144.91737372320782,5589.832317168386
49152,289.83474744641563,Entire home/apt,2.0,True,0,1,10.0,100.0,0,2.760140059455275,0.1786406903393708,87.6649879721101,122.5649833928038,16.408,48.218,vienna,Week,144.91737372320782,5589.832317168386
49153,289.83474744641563,Entire home/apt,2.0,True,0,1,10.0,100.0,0,2.760156647732242,0.1786604372270928,87.66421492795901,122.5640797044196,16.408,48.218,vienna,Week,144.91737372320782,5589.832317168386
49154,336.34854965757427,Entire home/apt,4.0,True,0,1,10.0,94.0,1,2.7601359438045314,0.1786400762657014,87.66514102778132,122.56514765203,16.408,48.218,vienna,Week,84.08713741439357,5589.832317168386
49155,336.34854965757427,Entire home/apt,4.0,True,0,1,10.0,97.0,1,2.7601577932044585,0.1786610772179695,87.66416809074839,122.56402742426638,16.408,48.218,vienna,Week,84.08713741439357,5589.832317168386
49156,336.34854965757427,Entire home/apt,4.0,True,0,1,10.0,100.0,1,2.7601308114425382,0.1786430445975304,87.6652981342613,122.56530029945849,16.408,48.218,vienna,Week,84.08713741439357,5589.832317168386
49157,312.9747797022182,Entire home/apt,3.0,False,0,0,9.0,95.0,1,4.979051474942281,0.3442528273656584,66.69906517488351,83.26371676026952,16.306829999999998,48.21181,vienna,Week,104.32492656740607,5586.446252447032
49158,189.09379893883084,Entire home/apt,5.0,False,0,1,8.0,85.0,1,2.3497497050640264,0.2430426258358323,109.7444634992322,166.89516402963622,16.34495,48.21739,vienna,Week,37.81875978776617,5588.056464631833
49159,174.60206156651006,Entire home/apt,2.0,False,0,1,10.0,92.0,0,3.7687081900528856,0.9381879838249216,84.68546970337704,110.7993223989454,16.32295,48.20789,vienna,Week,87.30103078325503,5586.477018843927
49160,113.8302596825842,Private room,2.0,False,1,0,10.0,96.0,1,3.188571700747924,0.6788312713002812,88.05774318146811,127.62971826609004,16.33192,48.21519,vienna,Week,56.9151298412921,5587.4755746823985
49161,440.5955636584625,Entire home/apt,4.0,False,0,1,10.0,100.0,1,5.690993385925228,2.487876437879506,45.49027217161987,67.24925326998313,16.33265,48.25177,vienna,Week,110.14889091461562,5591.281163506506
49162,215.50615898838325,Entire home/apt,2.0,False,0,0,9.0,93.0,1,7.052032668631785,1.101550578226036,55.08003445645432,57.50646529493447,16.27927,48.20195,vienna,Week,107.75307949419162,5584.680069204516
49163,243.55468293481056,Entire home/apt,4.0,False,0,0,8.0,100.0,1,2.599127492872311,0.3239136318609144,117.15415555129287,183.0047022023066,16.3526,48.18986,vienna,Week,60.88867073370264,5585.4154401171745
49164,83.44435874062128,Private room,2.0,False,0,0,8.0,89.0,1,8.201750919465331,2.807197418501892,33.71077393353476,43.21495523820348,16.45103,48.15593,vienna,Week,41.72217937031064,5584.5880347389
